average_salary,Location
555000.0,"Tucker, Georgia, USA"
549575.666666667,"Appleton, WI USA"
547141.823529412,"Montreal, Quebec, Canada"
532333.333333333,"Balmain, New South Wales, Australia"
529772.274545455,"Leeds, UK"
510464.968333333,"Sheffield, UK"
508759.574074074,"Fort Worth, TX USA"
504103.688,South Australia
503260.153846154,Northern Virginia
502681.230769231,"Overland Park, KS, USA"
500825.19369863,United Kingdom
500000.0,Ashburnham / MA / USA
499107.216216216,"Lexington, KY, USA"
491985.495,"Bristol, UK"
490018.819672131,California
487500.0,Los Gatos/CA/USA
484556.555555556,"Chandler, AZ"
481731.818181818,"Salem, Oregon, USA"
481255.948571429,South East UK
477921.230769231,"Reno, NV, USA"
475316.475935829,"Nashville, TN, USA"
473218.181818182,"Boise, Idaho, USA"
471485.435897436,"St. Louis, Missouri"
466998.99270073,"Salt Lake City, Utah, USA"
455788.0,Honolulu/Hawaii/USA
452112.466666667,"Sioux Falls, SD, USA"
445214.545454545,"Dayton, OH"
441856.428571429,Tucson/Arizona/USA
436805.416666667,"Dayton, Ohio USA"
435000.0,"los gatos, california"
433586.904761905,PA
432721.392156863,"Cincinnati, OH, USA"
426112.537313433,"San Diego, CA"
420786.895833333,"Denver, CO"
420000.0,"Turnersville, NJ US"
420000.0,Cibolo TX USA
418605.0,Italy
416827.569,"Glasgow, UK"
416210.260869565,"Maryland, USA"
409016.896551724,"Lansing, MI, USA"
404625.0,"Auburn, MA, USA"
401390.0,Lake Success/NY/USA
400000.0,Seattle but we do business globally
400000.0,"Belleview, NE USA"
394250.0,Wyoming
384629.029411765,"Saint Louis, Missouri United states"
381913.154835165,UK
381500.75,Alabama
375000.0,Salem/Alabama/USA
372604.708333333,"Boulder, CO"
370892.208333333,"Santa Barbara, CA, USA"
364820.555555556,Louisiana
363435.384615385,"State College, PA, USA"
362856.8,Germany
360272.74,"Burlington, VT, USA"
360000.0,"Ft Walton Beach, FL, USA"
359573.684745763,"Toronto, ON, Canada"
358944.8,New Mexico
356567.575757576,"Knoxville, TN, USA"
351253.676470588,"Boulder, CO, USA"
351000.0,Ft Belvoir
350652.222222222,"Calgary, AB, Canada"
350000.0,Richmond
347137.5,"South Bend, IN USA"
345000.0,"Butte, MT"
344168.8125,"Jackson, MS, USA"
343187.142857143,"Bremerton, WA, USA"
341666.666666667,Greater LA / CA / USA
341055.0,"Virginia, USA"
338000.0,"Sunnyvale, CA"
334000.0,"Idaho, United States"
333745.3125,Arkansas
333340.963636364,"Raleigh, NC"
332000.0,St. Joseph/Missouri/United States
330000.0,"Missoula, MT"
329526.527777778,"Santa Clara, CA, USA"
329033.38,DC
328913.127272727,"Phoenix, Arizona, USA"
326777.0,Saudi Arabia
325000.0,"Yardley, pA"
325000.0,"Stillwater, MN"
325000.0,Fort Atkinson/WI/USA
322525.925925926,"Tampa, FL"
322248.166666667,"Massachusetts, USA"
320000.0,Mill Valley / CA / USA
317170.806557377,"Ottawa, Ontario, Canada"
313715.920792079,"Richmond, VA, USA"
304274.095238095,"Indiana, USA"
304250.0,New York/USA
303953.846153846,"Lincoln, NE, USA"
303000.6,"Binghamton, NY"
302470.771428571,"Fairfax, VA"
300000.0,Venice Florida
300000.0,"Short Hills, NJ"
300000.0,Riverside
300000.0,Lafayette La
300000.0,"Brandon, MS, US"
294773.681818182,"Milwaukee, WI, USA"
294665.641025641,New Jersey
290066.666666667,"Lincoln, Nebraska, USA"
289333.833333333,"Farmington Hills, MI, USA"
282245.847333333,Scotland
280000.0,"São Paulo, SP, Brazil"
280000.0,"Research Triangle, NC, USA"
280000.0,"Abu Dhabi, united arab emirates"
279290.986666667,"New Orleans, LA"
278567.488888889,"Springfield, MA"
275809.608695652,"Gainesville, FL, USA"
273241.238461538,"San Diego, CA, USA"
271675.982142857,"Hartford, CT, USA"
270754.403846154,Minneapolis
266347.875,"Durham, NC, USA"
265673.958333333,"Alexandria, VA, USA"
265000.0,"Kentfield, CA"
265000.0,"Cary, NC Wake County"
264071.085714286,British Columbia
264063.97826087,"New Jersey, USA"
263333.333333333,"SF, CA, USA"
260000.0,Travel
260000.0,Nowata Oklahoma
257500.0,"Parsippany, NJ USA"
256247.739130435,"Chapel Hill, NC, USA"
253256.98,Maryland
253160.78875,"Oxford, UK"
250000.0,"Small City, Midwest, USA"
250000.0,"Morris County, NJ"
250000.0,Milwaukee/Milwaukee/usa
250000.0,"Ancram, NY, USA"
249645.51,England
248008.0,Wog mb Canada
245647.551020408,Virginia
245590.069642857,Sydney
243784.25,Atlantic Canada
241878.338983051,"Ann Arbor, MI, USA"
240831.428571429,"NC, USA"
240800.0,"St John's, NL, Canada"
240000.0,stratham/nh/usa
239139.090909091,"Berlin, Germany"
239000.0,"Nacogdoches, TX"
238152.916666667,"Palo Alto, CA"
237801.100487805,Ireland
236853.193317422,"Philadelphia, PA, USA"
236083.683473389,"Austin, TX, USA"
235000.0,Shakopee/Minnesota/USA
235000.0,Chillicothe/Illinois/USA
234680.0,"Loveland, Colorado, USA"
234000.0,"Danville, California, USA"
231597.692307692,San Diego/California/USA
230360.0,"Lawrenceville, GA USA"
230000.0,"Dixon, IL USA"
226333.333333333,"Elkhart, Indiana"
226045.381594203,"Birmingham, AL, USA"
226017.296296296,"New Haven, CT, USA"
225000.0,Metarie/Louisiana/USA
221033.693548387,Pennsylvania
220000.0,Sprinfgield Massachusetts
220000.0,"Monaca, Pennsylvania us"
219210.293103448,"Cincinnati, Ohio, USA"
218500.0,Downingtown pa
216631.2,Boston
216000.0,Midwest United States
215873.917525773,"Baltimore, MD, USA"
215000.0,SF
213906.402597403,"NY, NY, USA"
213664.545454545,"Berkeley, CA, USA"
212422.393258427,"Arlington, VA"
211800.0,McKinney/Texas/USA
210666.666666667,Oxnard CA USA
210000.0,Stony Brook/NY/USA
210000.0,Socorro/New Mexico/USA
210000.0,"Buchanan, New York, usa"
208500.0,Plymouth Meeting PA US
208250.0,"Beverly, MA, USA"
208000.0,El Segundo/CA/USA
207809.5,"Raleigh, NC, USA"
207660.0,"Menlo Park, CA"
204645.564102564,"Chattanooga, TN USA"
203000.0,Greater New York City
200637.8,"Winnipeg, Manitoba, Canada"
200488.269230769,"Des Moines, IA, USA"
200000.0,Rocky Mount NC USA
200000.0,New Providence/New Jersey/US
200000.0,"Kabul, Afghanistan"
200000.0,Barcelona
200000.0,"Aliso Viejo, CA, USA"
199972.905263158,France
199000.0,Canby Oregon us
199000.0,"Boston Metro Area, Massachusetts"
198740.457364341,"Charlotte, NC, USA"
198200.0,"Burlingame, CA"
197500.0,"Tustin, CA, USA"
197029.707006369,NY
196516.49122807,Utah
196170.749142857,"London, United Kingdom"
195500.0,Cupertino
192000.0,"Atlanfa, GA"
191663.2,Cheyenne Wy
190284.0,"Kokomo, IN, USA"
190000.0,SF/can/usa
190000.0,Greater LA area
190000.0,"East Bay Area, CA, USA"
189101.8,"Lynchburg, VA"
188500.0,Undisclosed/Kentucky/USA
188124.106508876,"Indianapolis, IN, USA"
187847.720930233,Minnesota
187800.0,San Jose
187650.909090909,"Greenville, SC, USA"
187571.428571429,Sunnyvale California USA
187000.0,Gillette/WY/USA
186951.702970297,"Oakland, CA, USA"
185242.898734177,"St. Louis, MO, USA"
185000.0,Valdez/Alaska
185000.0,"Plymouth, MI"
185000.0,Glencoe/IL/USA
183500.0,"Conroe, TX, USA"
183224.782608696,Wisconsin
183000.0,Leander/Texas/US
182657.142857143,"SF, CA"
180800.0,"Erie, PA"
180366.666666667,"Hayward, CA, USA"
180000.0,Murphy/TX/USA
180000.0,"Monroe, CT USA"
180000.0,"Danville,CA, USA"
180000.0,California kern county
179391.87394958,"Denver, Colorado, USA"
178069.333333333,"Mt. Pleasant, MI USA"
177000.0,La Spezia Italy
175000.0,tacoma wash. usa
175000.0,Tucson
175000.0,Louisville
175000.0,"Fort Lee, NJ"
175000.0,"Dublin, CA"
175000.0,"Beckley, WV"
175000.0,Albququeruem NM
173871.0625,"Madison, WI, USA"
172220.0,Zurich/Zurich/Switzerland
172000.0,Rural/Colorado/USA
172000.0,Fort McMurray
170000.0,"Stafford, VA"
170000.0,"Riverside, California, USA"
170000.0,North Wilkesboro/NC/USA
170000.0,Manhattan NY
170000.0,Houston I'll usa
169818.417777778,"Ontario, Canada"
168000.0,Hopkinton MA USA
167835.5,Singapore
166770.0,Grandson/Vaud/Switzerland
165770.0,"Sussex, UK"
165500.0,Woodridge/Illinois/USA
165381.25,San Jose/California/USA
165142.857142857,Sunnyvale
165000.0,"Novi, MI"
164500.0,"Indiana, pa"
164000.0,"Alameda, CA USA"
163772.5,"Zurich, Switzerland"
163400.0,San Antonio
162833.333333333,NV
162500.0,Irvine
162000.0,Hillsdale New Jersey USA
161053.409090909,"Miami, Florida, USA"
161000.0,Haddonfield/nj/08108
160000.0,"Windsor Locks, CT"
160000.0,"Lyndhurst, NJ, USA"
160000.0,"Dubai, United Arab Emirates"
159333.333333333,"Laurel, MD"
159000.0,Hunt Valley/Maryland/US
158571.428571429,Tampa
158500.0,Ridgewood nj
158368.4,"Reston, VA"
158000.0,"OKC, OK USA"
157998.422222222,"New York, New York, USA"
157804.347826087,"Stamford, CT, USA"
157004.5,"Billerica, MA"
157000.0,Little Rock
156000.0,"Lakeville, CT USA"
155900.0,"Quantico, VA"
155750.0,Paramus / New Jersey / USA
155000.0,"St Louis, MO - USA (but rate based on office location of Cincinnati, OH"
155000.0,New Jersey / NYC Metro
155000.0,Metro NYC
155000.0,"Flower Mound, TX"
155000.0,"El Centro, CA"
153000.0,San fran
153000.0,"Hot Springs, AR, US"
151500.0,"San Mateo, CA, United States"
151000.0,South Korea but with stateside address
